transaction_id,product_name,product_price,transaction_date,customer_id,customer_name,customer_email,customer_country,customer_postal_code,customer_age
520,Garlic Herb Marinade,136.33,8/29/2020,30,Marianne Faloon,mfaloont@imageshack.us,Libya,,55
791,Classic Beef Chili,621.58,11/6/2020,31,Johanna Tuffield,jtuffieldu@patch.com,Portugal,2760-012,25
115,Lemon Garlic Marinade,916.82,10/27/2020,32,Dorelle Lukock,dlukockv@sciencedaily.com,Pakistan,36121,57
793,Jennifer's Amazing Lip Balm Kit,428.24,10/7/2020,33,Kaye Firidolfi,kfiridolfiw@google.ca,Finland,39501,26
182,Quinoa and Kale Salad Kit,460.91,11/19/2020,34,Melvin Beckey,mbeckeyx@narod.ru,Philippines,5505,45
430,Organic Baby Spinach,854.73,6/4/2020,35,Inness Tewes,itewesy@slate.com,Egypt,,42
858,Smart Air Purifier,933.98,9/18/2020,36,Fae Quested,fquestedz@slashdot.org,Brazil,12280-000,39
531,Organic Cereal Bars,596.67,7/27/2020,37,Lidia Ruthven,lruthven10@adobe.com,Tanzania,,28
243,Lemon Herb Chicken,541.83,3/19/2020,38,Bryn Furmston,bfurmston11@usda.gov,China,,55
273,Lightweight Backpacking Tent,757.45,4/27/2020,39,Lois Pickaver,lpickaver12@kickstarter.com,Thailand,40130,57
343,Electrolyte Water Bottle,322.53,12/29/2020,40,Kacey Serchwell,kserchwell13@gravatar.com,Netherlands,5019,41
220,Multi-Function Smartphone Holder,409.87,2/25/2020,41,Miguela Kingscote,mkingscote14@tripod.com,Mexico,27443,49
205,Pumpkin Seeds,845.89,3/15/2020,42,Frazier Pitchers,fpitchers15@cbc.ca,Indonesia,,75
492,Cauliflower Pizza Crust,285.55,3/4/2020,43,Rona Aspital,raspital16@sitemeter.com,China,,85
194,Savory Oatmeal,327.39,7/30/2020,44,Alica Capener,acapener17@ebay.com,China,,31
625,Microwave Popcorn Maker,50.61,2/11/2020,45,Clywd Smurfit,csmurfit18@youku.com,Russia,353159,62
423,Children's Musical Instrument Set,926.62,10/2/2020,46,Vite Pallister,vpallister19@dion.ne.jp,Brazil,13990-000,19
866,Wall-Mounted Spice Rack,128.21,2/25/2020,47,Jaye Staynes,jstaynes1a@symantec.com,China,,18
828,Air Purifier,569.96,3/6/2020,48,Miguelita Doswell,mdoswell1b@wp.com,China,,20
197,Luxury Bath Salts,210.1,9/13/2020,49,Carleen Berk,cberk1c@cdc.gov,Iran,,50
640,Memory Card,144.65,2/8/2020,50,Orren Belhome,obelhome1d@spotify.com,China,,76
402,Stainless Steel Travel Mug,481.18,1/6/2020,51,Andonis Cripps,acripps1e@earthlink.net,China,,68
335,Cheddar & Bacon Potato Skins,481.09,9/11/2020,52,Nickola Laurie,nlaurie1f@360.cn,Brazil,76360-000,52
616,Vegetable Sushi Rolls,162.82,8/26/2020,53,Tildi Mapstone,tmapstone1g@samsung.com,Philippines,2709,51
396,Lemon Pepper Seasoning,680.54,7/11/2020,54,Sacha Hiscoke,shiscoke1h@google.ru,China,,62
527,Faux Fur Coat,280.59,4/9/2020,55,Perle Labdon,plabdon1i@adobe.com,Indonesia,,51
843,Mini Food Processor,342.02,5/17/2020,56,Morgan Bradley,mbradley1j@mayoclinic.com,Philippines,2712,83
900,Fitness Jump Rope with LCD Counter,307.09,6/26/2020,57,Xena Baptista,xbaptista1k@rakuten.co.jp,South Africa,9505,25
334,Teriyaki Chicken Wings,453.25,3/31/2020,58,Nev Poinsett,npoinsett1l@cnn.com,Portugal,3400-696,52
216,Gardening Fairy Figurines,913.73,10/29/2020,59,Dacie Kensington,dkensington1m@mit.edu,Japan,373-0862,79
325,Flavored Instant Oatmeal,452.83,5/5/2020,60,Peterus Mawtus,pmawtus1n@msu.edu,Vietnam,,33
500,Salsa,53.79,8/16/2020,61,Meade Key,mkey1o@oaic.gov.au,Slovenia,9227,45
220,Pet Safety Belt for Car,375.82,5/6/2020,62,Alon Manwaring,amanwaring1p@ifeng.com,Indonesia,,39
115,Mini Meatballs,242.36,8/6/2020,63,Hank Hannen,hhannen1q@miitbeian.gov.cn,China,,75
497,Elderberry Syrup,918.31,12/8/2020,64,Nannie Vain,nvain1r@google.com,Ukraine,,57
356,Creamy Garlic Mashed Potatoes,71.16,3/17/2020,65,Berri Pickervance,bpickervance1s@examiner.com,Mexico,95603,76
239,Veggie Lovers Pizza,703.84,3/24/2020,66,Guthrey Wenzel,gwenzel1t@sciencedaily.com,China,,43
835,Herbed Couscous,957.3,11/22/2020,67,Trudie Yter,tyter1u@tripod.com,Philippines,7120,29
716,Lentil Pasta,193.92,12/15/2020,68,Lissy Thurbon,lthurbon1v@newsvine.com,Poland,05-509,26
112,Balsamic Vinaigrette,719.91,12/12/2020,69,Benedicta Clever,bclever1w@google.ca,China,,60
296,Homestyle Chicken Noodle Soup,832.78,12/26/2020,70,Marylee Rampton,mrampton1x@nhs.uk,Philippines,4332,54
835,Eggs (dozen),418.64,2/28/2020,71,Valaree Blount,vblount1y@hatena.ne.jp,China,,38
953,Savory Italian Herbs,424.36,11/19/2020,72,Selene Fairney,sfairney1z@soundcloud.com,Albania,,21
961,Artisan Pickles,529.15,2/6/2020,73,Zitella Kirby,zkirby20@smh.com.au,Canada,N1G,37
223,Fitness Jump Rope with LCD Counter,38.47,12/18/2020,74,Sally Tapscott,stapscott21@icio.us,China,,53
361,Ginger Tea,619.68,7/25/2020,75,Anton McKelloch,amckelloch22@plala.or.jp,Brazil,58305-000,67
879,Maple Chipotle Glaze,156.47,10/10/2020,76,Alaric Adrien,aadrien23@cisco.com,Russia,690880,82
571,Bamboo Utensil Holder,259.05,1/15/2020,77,Keriann Chaise,kchaise24@smugmug.com,Morocco,,51
739,Denim Jacket,517.37,3/15/2020,78,Valeria Lodford,vlodford25@netvibes.com,China,,66
552,Travel Size Toiletry Bottles,226.56,1/16/2020,79,Wynny Benedicto,wbenedicto26@google.com.hk,China,,78
332,Self-Adhesive Wallpaper,465.83,11/8/2020,80,Odele Munnis,omunnis27@chron.com,Portugal,4690-580,19
521,Cauliflower Gnocchi,439.7,9/6/2020,81,Kort Polkinghorne,kpolkinghorne28@ebay.co.uk,Russia,386250,20
921,Honey Mustard Chicken Breasts,930.5,6/30/2020,82,Bastian Alvy,balvy29@miibeian.gov.cn,Indonesia,,32
932,Foot Massager Machine,796.52,9/30/2020,83,Emlyn Hucknall,ehucknall2a@columbia.edu,Thailand,43210,33
289,Smart Fitness Scale,128.42,6/17/2020,84,Mario Oldershaw,moldershaw2b@un.org,Sweden,125 46,41
689,Fitness Jump Box,198.48,3/23/2020,85,Hashim Smalles,hsmalles2c@redcross.org,Finland,31761,41
611,Buffalo Sauce,438.7,3/6/2020,86,Layne Drewitt,ldrewitt2d@senate.gov,France,95959 CEDEX 2,43
143,Apple Sauce,615.37,9/5/2020,87,Sabine Evamy,sevamy2e@tripadvisor.com,Philippines,9612,63
396,Leek and Potato Soup,624.46,9/21/2020,88,Edik Saffin,esaffin2f@issuu.com,Argentina,3374,69
272,Creative Puzzle Game,285.7,3/13/2020,89,Lani Adamovsky,ladamovsky2g@utexas.edu,Argentina,4174,67
967,Electric Skillet,788.69,4/12/2020,90,Hillary Bowdery,hbowdery2h@etsy.com,China,,50
987,Coconut Cream Pie Yogurt,642.54,4/7/2020,91,Alaster Deguara,adeguara2i@ebay.co.uk,Russia,429720,39
920,Tea Infuser,914.74,4/22/2020,92,Susanetta McCaw,smccaw2j@rakuten.co.jp,China,,75
663,Coconut Curry Lentils,648.28,10/25/2020,93,Milly Juris,mjuris2k@gmpg.org,Japan,981-4121,77
363,Fruit and Nut Medley,156.82,12/30/2020,94,Roanne Widdicombe,rwiddicombe2l@nytimes.com,Indonesia,,27
564,Wireless Earbuds Case,274.8,1/25/2020,95,Eugen Rennicks,erennicks2m@ow.ly,Belarus,,52
849,Screen Cleaning Kit,565.86,10/26/2020,96,Sharity Meanwell,smeanwell2n@nih.gov,Poland,11-420,34
338,Multi-Function Smartphone Holder,421.09,1/17/2020,97,Brigg Mumbey,bmumbey2o@mashable.com,China,,65
494,Organic Lentil Soup,981.44,1/8/2020,98,Mureil Schrinel,mschrinel2p@harvard.edu,China,,67
287,Sweet Potato Noodles,920.14,10/17/2020,99,Stinky Allans,sallans2q@howstuffworks.com,Czech Republic,765 02,69
193,Organic Quinoa,394.61,4/13/2020,100,Rowney Gookey,rgookey2r@smh.com.au,China,,35
729,Chia Seed Pudding,799.85,10/18/2020,101,Tandy Maddrah,tmaddrah2s@aol.com,Brazil,14180-000,38
803,Self-Cleaning Cat Litter Box,513.82,8/1/2020,102,Werner Kellart,wkellart2t@reference.com,Greece,,64
355,Manual Coffee Grinder,912.82,11/16/2020,103,Bord Patesel,bpatesel2u@dagondesign.com,China,,75
664,Window A/C Unit,542.24,9/20/2020,104,Gaye Yearne,gyearne2v@wikia.com,China,,62
330,Basketball,188.36,6/13/2020,105,Ag Scarbarrow,ascarbarrow2w@i2i.jp,China,,59
815,Wall-Mounted Spice Rack,23.65,7/12/2020,106,Gregory Petyt,gpetyt2x@linkedin.com,Portugal,2000-715,80
336,Multifunctional Pocket Tool,869.16,7/22/2020,107,Woodman Curtiss,wcurtiss2y@google.cn,Portugal,4785-228,41
329,Cinnamon Sugar Popcorn,707.45,11/4/2020,108,Bastien Berthon,bberthon2z@wikipedia.org,China,,31
911,Lemon Sorbet,900.53,11/29/2020,109,Durant Langan,dlangan30@archive.org,China,,38
711,Corn Tortillas,196.43,3/12/2020,110,Bevvy Bagley,bbagley31@mozilla.com,China,,72
663,Pasta Maker Machine,588.89,5/25/2020,111,Stanford Robbey,srobbey32@soundcloud.com,Brazil,45260-000,29
587,Mango Chia Pudding,524.46,5/25/2020,112,Ginnie Velasquez,gvelasquez33@miibeian.gov.cn,China,,80
110,DIY Candle Kit,635.63,7/22/2020,113,Janetta Berntsson,jberntsson34@sciencedirect.com,Yemen,,27
210,Beef Enchilada Casserole,641.45,11/4/2020,114,Tara Standish,tstandish35@youku.com,Brazil,79900-000,38
368,Maxi Wrap Dress,757.47,4/16/2020,115,Karlis Gosforth,kgosforth36@stumbleupon.com,United States,10125,36
504,Cotton Quilted Throw Blanket,259.0,1/3/2020,116,Andrew De Laspee,ade37@mail.ru,China,,83
109,Pet Reflective Vest,155.52,3/21/2020,117,Bethena Zeale,bzeale38@photobucket.com,Sweden,184 70,21
317,Luxe Velvet Blazer,710.17,8/27/2020,118,Edee Slavin,eslavin39@sogou.com,Dominican Republic,11005,70
675,Avocado Oil,84.22,9/8/2020,119,Mario Antliff,mantliff3a@mozilla.com,Indonesia,,69
123,Fresh Strawberries,528.69,5/13/2020,120,Marcellus Bythell,mbythell3b@dion.ne.jp,Cameroon,,80
700,Herbal Tea Variety Pack,986.34,3/15/2020,121,Knox Rothera,krothera3c@dailymail.co.uk,Panama,,45
855,Waffle Maker,290.13,7/9/2020,122,Myrwyn Lumsden,mlumsden3d@ucsd.edu,China,,46
764,Adjustable Window Blind,553.6,11/25/2020,123,Elwin Chape,echape3e@feedburner.com,Sweden,117 37,63
630,Fitness Tracker Band,623.98,1/3/2020,124,Alisa Shere,ashere3f@yelp.com,Sweden,603 52,18
874,Fruit and Nut Medley,160.83,3/29/2020,125,Ardith Gidman,agidman3g@acquirethisname.com,Poland,37-511,66
630,Chicken Parmesan Dinner Kit,487.05,12/13/2020,126,Clemmy Blenkinsopp,cblenkinsopp3h@dropbox.com,Malaysia,93762,85
279,Avocado Oil Mayo,691.6,11/12/2020,127,Court Sarre,csarre3i@nba.com,Armenia,,85
609,Baby Safety Corner Guards,364.54,1/23/2020,128,Ramona Tew,rtew3j@dmoz.org,South Africa,6901,27
197,Banana Peanut Butter Smoothie,946.48,10/17/2020,129,Elsy Deakins,edeakins3k@nydailynews.com,United States,59112,82
989,Savory Oatmeal Cups,41.97,2/2/2020,130,Colan Ondracek,condracek3l@miibeian.gov.cn,Philippines,5004,67
127,Organic Italian Seasoning,163.35,6/17/2020,131,Tamra Sandell,tsandell3m@liveinternet.ru,Ireland,D24,29
485,Ice Cube Tray with Lid,550.68,6/18/2020,132,Rene Gooble,rgooble3n@bandcamp.com,United States,77293,42
845,Graphic Tee,786.94,2/3/2020,133,Ingamar Bambery,ibambery3o@istockphoto.com,Philippines,3107,38
450,Lemon Garlic Marinade,371.75,12/21/2020,134,Niko Featherstonehaugh,nfeatherstonehaugh3p@instagram.com,Indonesia,,48
586,Pet Hair Remover,397.35,2/25/2020,135,Jackie MacMorland,jmacmorland3q@netvibes.com,Vietnam,,22
163,Shredded Cheese,428.83,12/1/2020,136,Millie Sandeson,msandeson3r@timesonline.co.uk,Peru,,22
291,Zucchini Noodle Pasta,741.07,6/1/2020,137,Cassaundra Shellard,cshellard3s@army.mil,Poland,76-231,49
917,Under Desk Footrest,732.37,12/18/2020,138,Reece Burhouse,rburhouse3t@artisteer.com,Russia,174450,76
444,Electric Meat Grinder,488.9,5/24/2020,139,Angus Bletsor,abletsor3u@linkedin.com,Greece,,58
345,Fitness Tracker with Heart Rate Monitor,744.59,7/22/2020,140,Englebert Harsum,eharsum3v@blogger.com,Albania,,24
485,Sweet Potato & Kale Hash,266.26,7/30/2020,141,Lenora Claris,lclaris3w@360.cn,Serbia,,43
840,Spicy Thai Coconut Soup,684.01,5/25/2020,142,Dodi Troyes,dtroyes3x@biglobe.ne.jp,Mexico,56030,41
774,Pork Tenderloin,515.12,4/21/2020,143,Brita Pfeiffer,bpfeiffer3y@diigo.com,Russia,216245,30
293,Honey Sriracha Chicken Bites,493.94,1/30/2020,144,Lori Dayly,ldayly3z@multiply.com,Argentina,7240,30
111,Water Bottle,864.65,5/1/2020,145,Wandie Pargent,wpargent40@princeton.edu,Luxembourg,L-9359,48
167,Aged White Cheddar Popcorn,741.03,11/27/2020,146,Vaughan Reichelt,vreichelt41@yahoo.co.jp,Niger,,29
188,Vegetable Spring Rolls,860.49,1/27/2020,147,Petronille Kochl,pkochl42@biblegateway.com,Portugal,2710-200,46
512,Tailored Blazer,712.98,11/12/2020,148,Heda Joseff,hjoseff43@umn.edu,Portugal,2525-713,67
696,Set of Silicone Cooking Utensils,528.82,12/10/2020,149,Vickie Sture,vsture44@de.vu,Canada,V1R,26
958,Watercolor Paint Set,228.44,5/14/2020,150,Hector Gatehouse,hgatehouse45@guardian.co.uk,Indonesia,,25
201,Pineapple Coconut Bars,297.57,11/8/2020,151,Daveen McCathy,dmccathy46@samsung.com,China,,70
712,Matcha Green Tea Powder,528.11,8/2/2020,152,Harriet Jelly,hjelly47@newsvine.com,Sierra Leone,,75
121,Stainless Steel Travel Mug,217.55,12/7/2020,153,Hailey Maidens,hmaidens48@bravesites.com,Libya,,59
210,Baking Powder,46.99,2/5/2020,154,Inesita Urch,iurch49@state.gov,China,,51
686,Apricot Jam,423.35,8/5/2020,155,Blondie Urpeth,burpeth4a@nbcnews.com,Poland,97-212,59
837,Mediterranean Chickpea Bowl,611.54,9/16/2020,156,Emilio Keely,ekeely4b@spotify.com,Indonesia,,57
148,Grilled Veggie Burgers,752.15,2/28/2020,157,Alejandro Keyden,akeyden4c@hatena.ne.jp,China,,49
843,Garden Kneeler and Seat,705.31,3/24/2020,158,Rodolph Neely,rneely4d@intel.com,Poland,88-324,32
670,Pest Control Traps,783.41,6/5/2020,159,Alistair Meagh,ameagh4e@mac.com,China,,65
569,Reflective Safety Vest,281.69,9/16/2020,160,Durand Hughes,dhughes4f@devhub.com,Sweden,722 44,42
673,Margherita Pizza,989.84,12/28/2020,161,Kippie Kiltie,kkiltie4g@google.ru,South Africa,4399,24
548,Vegetarian Stuffed Peppers,297.97,9/8/2020,162,Abagael Frontczak,afrontczak4h@shinystat.com,Portugal,4830-411,53
102,Outdoor String Lights,964.5,9/21/2020,163,Jess Gilham,jgilham4i@walmart.com,China,,39
324,Organic Coconut Yogurt,681.72,11/27/2020,164,Judi Somerled,jsomerled4j@slate.com,Egypt,,60
981,Multi-Function Smartphone Holder,553.16,11/18/2020,165,Lorens Heaps,lheaps4k@adobe.com,Mexico,43161,20
535,Sweet Potato Mash,884.7,6/29/2020,166,Bevin Josofovitz,bjosofovitz4l@washington.edu,Indonesia,,75
258,Kids Tablet,983.04,12/3/2020,167,Risa Calendar,rcalendar4m@comcast.net,South Africa,6139,18
449,Handmade Wooden Utensil Set,836.89,8/30/2020,168,Fonz Thomazet,fthomazet4n@paginegialle.it,China,,79
803,Energy Bites,267.89,3/3/2020,169,Ailey Sheringham,asheringham4o@wordpress.org,Nigeria,,58
836,Cheddar Cheese Slices,128.26,10/22/2020,170,Anna-diana Ivanenkov,aivanenkov4p@furl.net,Indonesia,,49
803,Ethical Wool Scarf,960.35,11/6/2020,171,Esme Scullin,escullin4q@imageshack.us,Portugal,3405-305,19
180,Carrot Sticks,960.41,12/20/2020,172,Silvio Warin,swarin4r@live.com,China,,65
766,Protein Powder,858.91,8/15/2020,173,Constantia Iacobetto,ciacobetto4s@netlog.com,Indonesia,,43
911,Honey Mustard Sauce,233.52,5/18/2020,174,Felicity Edridge,fedridge4t@scribd.com,Brazil,65400-000,30
907,Chewy Granola Bars,351.46,7/15/2020,175,Robin Grafom,rgrafom4u@wufoo.com,China,,82
747,Chili Lime Corn Chips,267.46,4/19/2020,176,Win Blenkinsopp,wblenkinsopp4v@hhs.gov,United States,27409,75
954,Bluetooth Sleep Headphones,812.06,12/26/2020,177,Gwendolen Robert,grobert4w@army.mil,China,,73
214,Fitness Tracker Band,48.69,1/9/2020,178,Malanie Danels,mdanels4x@mediafire.com,Indonesia,,39
192,Maple Bacon Popcorn,50.2,5/7/2020,179,Gayla Bangiard,gbangiard4y@springer.com,Bosnia and Herzegovina,,47
143,Cable Knit Beanie,307.32,11/3/2020,180,Roberta Droghan,rdroghan4z@w3.org,China,,24
446,Ranch Dressing,949.11,2/21/2020,181,Billie Trustram,btrustram50@fotki.com,China,,44
146,Thai Red Curry Paste,484.72,11/1/2020,182,Frankie Edgeson,fedgeson51@elpais.com,China,,28
787,Kids' Trampoline,225.85,6/28/2020,183,Winfred Pratley,wpratley52@webnode.com,China,,66
482,Air Fryer Oven,296.62,6/10/2020,184,Deborah Ferier,dferier53@mac.com,Chile,,75
120,Motorcycle Phone Mount,144.84,6/27/2020,185,Blisse Houten,bhouten54@booking.com,Trinidad and Tobago,,47
360,Portable Hammock Swing,490.19,11/24/2020,186,Fulton Stutte,fstutte55@ovh.net,Brazil,77915-000,81
625,Beef Chili,53.44,1/1/2020,187,Naoma Raven,nraven56@etsy.com,Bulgaria,4815,62
121,Athletic Jogging Jacket,625.92,5/5/2020,188,Mata Sayse,msayse57@mozilla.com,Venezuela,,67
598,Portable UV Sterilizer,88.75,8/10/2020,189,Bernadette Chart,bchart58@theglobeandmail.com,Indonesia,,25
249,Adjustable Laptop Desk,37.93,1/26/2020,190,Ewan Tombleson,etombleson59@biblegateway.com,Haiti,,73
178,Coconut Water,171.99,6/4/2020,191,Crissie Scullin,cscullin5a@baidu.com,Colombia,250848,85
677,Non-Stick Crepe Pan,669.67,5/8/2020,192,Lindsey Van Hault,lvan5b@samsung.com,Colombia,545518,18
395,Coconut Oil,461.33,5/9/2020,193,Hana Sommerling,hsommerling5c@nps.gov,Philippines,4806,52
733,Oversized Denim Shirt,187.52,1/12/2020,194,Ginelle Wormstone,gwormstone5d@angelfire.com,China,,85
798,Organic Spinach,796.74,6/18/2020,195,Carrissa O'Cleary,cocleary5e@umich.edu,Philippines,2408,52
147,Spicy Kimchi,226.37,11/2/2020,196,Dorthy Loads,dloads5f@multiply.com,Indonesia,,43
438,High-Quality Yoga Mat,297.71,8/15/2020,197,Jayme Tebbutt,jtebbutt5g@columbia.edu,China,,63
1000,Organic Black Bean Burger,897.6,5/21/2020,198,Federica Blanning,fblanning5h@biblegateway.com,Luxembourg,L-3330,64
933,Cotton Basic Tank,876.65,9/28/2020,199,Garner Philpots,gphilpots5i@nationalgeographic.com,Russia,152730,25
981,Honey Mustard Pretzel Bites,284.8,3/15/2020,200,Nerte Boar,nboar5j@liveinternet.ru,Colombia,252257,35
798,Sesame Garlic Noodles,166.71,12/22/2020,201,Terrance Leach,tleach5k@woothemes.com,Poland,89-320,49
260,Durable Hiking Boots,782.4,9/4/2020,202,Suzann Dekeyser,sdekeyser5l@seesaa.net,Hungary,1239,56
986,Home Brewing Starter Kit,811.91,5/22/2020,203,Lorena Dyball,ldyball5m@utexas.edu,China,,71
636,Ultra-Thin Laptop Sleeve,214.19,12/30/2020,204,Chrysa Collimore,ccollimore5n@ed.gov,Indonesia,,71
592,Diced Tomatoes (canned),507.89,5/4/2020,205,Maxim Stonhouse,mstonhouse5o@yandex.ru,China,,31
410,Cherry Almond Protein Bar,382.22,4/3/2020,206,Brittan Orthmann,borthmann5p@joomla.org,Russia,309509,48
786,Olive Oil,643.8,11/14/2020,207,Nancee Pepperd,npepperd5q@spiegel.de,China,,77
589,Window A/C Unit,720.21,2/13/2020,208,Killian Pickvance,kpickvance5r@cornell.edu,Ukraine,,28
311,Reusable Snack Bags,599.03,5/23/2020,209,Tristam Chotty,tchotty5s@blogs.com,China,,53
712,Kettle Corn Popcorn,615.27,12/21/2020,210,Jessalyn Sprade,jsprade5t@cam.ac.uk,Russia,398902,62
284,Pumpkin Puree,631.31,2/9/2020,211,Harcourt Hospital,hhospital5u@theguardian.com,Indonesia,,67
470,Organic Quinoa,454.86,3/24/2020,212,Pepito Adamolli,padamolli5v@behance.net,Indonesia,,32
992,Pork Chops,869.75,9/23/2020,213,Ondrea Attride,oattride5w@ted.com,Indonesia,,58
682,Asian Noodle Salad Kit,348.94,2/2/2020,214,Vicki Davydzenko,vdavydzenko5x@google.de,Russia,399734,18
802,Popcorn Chicken,842.93,3/18/2020,215,Padgett McElmurray,pmcelmurray5y@webnode.com,Greece,,85
570,Electric Griddle,884.57,12/27/2020,216,Odella Brisbane,obrisbane5z@timesonline.co.uk,Ukraine,,69
461,Portable Hand Warmer,682.26,3/27/2020,217,Shelby Bodesson,sbodesson60@washingtonpost.com,Czech Republic,250 66,27
901,Oven-Baked Parmesan Zucchini,665.21,7/1/2020,218,Mic Gomery,mgomery61@microsoft.com,Indonesia,,29
585,Vegan Chickpea Salad,475.37,12/29/2020,219,Manny Housley,mhousley62@imdb.com,Vietnam,,82
815,Classic Minestrone Soup,314.38,8/7/2020,220,Tricia Dicte,tdicte63@dailymotion.com,Greece,,41
901,Herb-Infused Olive Oil,824.84,3/29/2020,221,Goldia Ganders,gganders64@themeforest.net,China,,54
889,Teriyaki Salmon Fillets,164.3,10/10/2020,222,Cherianne Walesby,cwalesby65@cnbc.com,Iran,,80
324,Flavored Instant Oatmeal,952.05,12/15/2020,223,Randee Kettlestringe,rkettlestringe66@wordpress.com,Malawi,,20
944,Maple Oatmeal,727.11,10/9/2020,224,Nataniel Sline,nsline67@sciencedaily.com,Indonesia,,51
946,Wireless Wi-Fi Extender,544.63,11/9/2020,225,Ardys Sodory,asodory68@creativecommons.org,Canada,P3L,85
586,Electrolyte Water Bottle,29.91,7/22/2020,226,Layla Gother,lgother69@google.com.hk,Indonesia,,25
845,Kids' Educational Tablet,834.76,7/28/2020,227,Chrisse Hugonin,chugonin6a@mail.ru,Thailand,42180,82
342,Chino Shorts,677.53,8/15/2020,228,Archer Vuitte,avuitte6b@facebook.com,United States,25336,64
519,Home Karaoke System,520.65,1/24/2020,229,Ezechiel Southern,esouthern6c@irs.gov,Venezuela,,28
217,Lasagna Noodles,4.24,6/24/2020,230,Rodger Paniman,rpaniman6d@github.io,Thailand,67150,33
652,Summer Tank Dress,51.11,7/16/2020,231,Rogerio Beddow,rbeddow6e@google.com,Russia,141707,85
912,Personalized Cutting Board,347.1,5/28/2020,232,Reinhard Iskowitz,riskowitz6f@netscape.com,China,,82
832,Hot Dog Buns,24.34,2/22/2020,233,Gertrud Ziem,gziem6g@skyrock.com,Portugal,4540-379,71
292,Coloring Books for Adults,654.07,10/23/2020,234,Ileana Gladman,igladman6h@webmd.com,Portugal,4635-640,85
786,Non-Stick Baking Sheet,966.82,2/14/2020,235,Alexandre Dearan,adearan6i@bloglines.com,Zimbabwe,,54
322,Hummus,887.72,8/11/2020,236,Thatch Bech,tbech6j@cocolog-nifty.com,Kazakhstan,,26
558,Organic Coconut Sugar,206.34,5/16/2020,237,Jolene Osinin,josinin6k@sakura.ne.jp,United States,66617,80
